title,country,release_year,duration,date_added,duration_normalized,genre_Action,genre_Anime Features,genre_Children,genre_Classic Movies,genre_Comedies,genre_Cult Movies,genre_Documentaries,genre_Dramas,genre_Horror Movies,genre_Independent Movies,genre_International Movies,genre_LGBTQ Movies,genre_Music,genre_Romantic Movies,genre_Sci-Fi,genre_Sports Movies,genre_Stand-Up,genre_Thrillers,genre_Uncategorized,genre_Action,genre_Anime Features,genre_Children,genre_Classic Movies,genre_Comedies,genre_Cult Movies,genre_Documentaries,genre_Dramas,genre_Horror Movies,genre_Independent Movies,genre_International Movies,genre_LGBTQ Movies,genre_Music,genre_Romantic Movies,genre_Sci-Fi,genre_Sports Movies,genre_Stand-Up,genre_Thrillers,genre_Uncategorized
21 & Over,United States,2013,93,"04,16,2019",0.2912621359223301,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2307: Winter's Dream,United States,2016,101,"03,01,2018",0.31715210355987056,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24 Hours to Live,South Africa,2017,93,"04,07,2018",0.2912621359223301,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25 Kille,India,2016,140,"10,01,2018",0.44336569579288027,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26 Years,South Korea,2012,135,"10,01,2017",0.42718446601941745,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
"27, el club de los malditos",Argentina,2018,82,"05,01,2018",0.255663430420712,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27: Gone Too Soon,United Kingdom,2017,70,"05,01,2018",0.2168284789644013,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
28 Days,United States,2000,104,"09,30,2020",0.3268608414239482,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3 Days to Kill,United States,2014,117,"12,01,2020",0.36893203883495146,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3 Generations,United States,2015,92,"08,28,2017",0.28802588996763756,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3 Heroines,Indonesia,2016,124,"01,05,2019",0.39158576051779936,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3 Idiots,India,2009,164,"08,01,2019",0.5210355987055016,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3 Seconds Divorce,Canada,2018,53,"06,15,2019",0.16181229773462782,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
3 Türken & ein Baby,Germany,2015,93,"12,15,2016",0.2912621359223301,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30 Days of Luxury,Egypt,2016,91,"04,18,2019",0.284789644012945,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30 Minutes or Less,United States,2011,83,"01,01,2021",0.2588996763754045,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
300 Miles to Heaven,Denmark,1989,93,"10,01,2019",0.2912621359223301,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
365 Days,Poland,2020,114,"06,07,2020",0.3592233009708738,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
37 Seconds,Japan,2020,116,"01,31,2020",0.3656957928802589,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
40 Sticks,Kenya,2019,93,"11,20,2020",0.2912621359223301,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
42 Grams,United States,2017,81,"02,01,2018",0.2524271844660194,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
48 Christmas Wishes,Canada,2017,84,"12,20,2017",0.2621359223300971,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4L,Spain,2019,105,"07,12,2019",0.3300970873786408,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4th Man Out,United States,2015,86,"05,05,2016",0.2686084142394822,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4th Republic,Nigeria,2019,120,"06,13,2020",0.3786407766990291,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
5 Flights Up,United States,2014,92,"03,17,2019",0.28802588996763756,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5 Star Christmas,Italy,2018,96,"12,07,2018",0.30097087378640774,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5 to 7,United States,2014,97,"03,16,2017",0.3042071197411003,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50 First Dates,United States,2004,99,"12,01,2020",0.3106796116504854,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50/50,United States,2011,100,"06,01,2019",0.313915857605178,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5CM,Indonesia,2012,126,"09,28,2018",0.39805825242718446,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
5Gang,Romania,2019,96,"04,27,2020",0.30097087378640774,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6 Balloons,United States,2018,75,"04,06,2018",0.23300970873786409,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
6 Days,New Zealand,2017,94,"02,08,2018",0.29449838187702265,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6 Underground,United States,2019,129,"12,13,2019",0.4077669902912621,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6 Years,United States,2015,80,"09,08,2015",0.24919093851132687,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
6-5=2,India,2014,103,"11,01,2017",0.32362459546925565,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
68 Kill,United States,2017,96,"09,01,2019",0.30097087378640774,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7 años,Spain,2016,77,"10,27,2016",0.23948220064724918,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
7 Din Mohabbat In,Pakistan,2018,137,"05,15,2019",0.4336569579288026,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7 Khoon Maaf,India,2011,148,"08,02,2018",0.4692556634304207,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
90 ML,India,2019,123,"08,13,2019",0.3883495145631068,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
93 Days,Nigeria,2016,121,"03,05,2020",0.3818770226537217,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
A 2nd Chance,Australia,2011,95,"07,01,2017",0.2977346278317152,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A 3 Minute Hug,Mexico,2019,28,"10,28,2019",0.08090614886731391,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
A Babysitter's Guide to Monster Hunting,United States,2020,99,"10,15,2020",0.3106796116504854,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A Bad Moms Christmas,United States,2017,104,"02,14,2020",0.3268608414239482,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A Beautiful Life,China,2011,122,"12,01,2018",0.3851132686084142,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
